time,open,high,low,close,volume,target
2024-01-01 00:00:00,100.1257,100.6606,99.1978,99.9997,2708,0
2024-01-01 00:15:00,99.8679,100.1981,99.0428,99.5622,3259,0
2024-01-01 00:30:00,100.6404,100.9485,99.8204,101.3755,4272,1
2024-01-01 00:45:00,100.1049,100.3031,100.0627,99.5191,4956,0
2024-01-01 01:00:00,99.4643,99.8156,99.4434,99.8795,4556,1
2024-01-01 01:15:00,100.3616,100.5273,100.2905,99.8065,3380,0
2024-01-01 01:30:00,101.304,101.8781,100.9598,101.8342,1588,1
2024-01-01 01:45:00,100.9471,101.3239,100.6221,99.5566,4360,0
2024-01-01 02:00:00,99.2963,99.3357,98.4453,98.6719,4930,0
2024-01-01 02:15:00,98.7346,98.9507,97.8924,100.6566,1649,1
2024-01-01 02:30:00,99.3767,99.8551,98.5419,98.9899,4686,0
2024-01-01 02:45:00,100.0413,100.3193,99.5583,99.3102,3574,0
2024-01-01 03:00:00,97.675,98.5573,97.1161,100.2966,2033,1
2024-01-01 03:15:00,99.7812,99.8394,99.3448,99.6557,3097,1
2024-01-01 03:30:00,98.7541,99.402,98.3847,98.7477,4647,1
2024-01-01 03:45:00,99.2677,100.1287,99.1828,99.9746,4041,1
2024-01-01 04:00:00,99.4557,100.3765,98.6542,98.8625,1310,0
2024-01-01 04:15:00,99.6837,100.1679,99.1036,100.1303,1992,1
2024-01-01 04:30:00,100.4116,100.8147,99.8662,98.8251,4825,0
2024-01-01 04:45:00,101.0425,101.0782,100.5136,99.6303,2334,0
2024-01-01 05:00:00,99.8715,100.3361,99.7102,101.7869,2677,1
2024-01-01 05:15:00,101.3665,102.0164,100.5377,99.1361,2796,0
2024-01-01 05:30:00,99.3348,99.673,98.6588,100.0188,2927,1
2024-01-01 05:45:00,100.3515,100.5132,99.9051,101.0559,2849,1
2024-01-01 06:00:00,100.9035,101.3741,100.5489,101.1042,3897,1
2024-01-01 06:15:00,100.094,100.2563,100.0222,100.6524,2183,1
2024-01-01 06:30:00,99.2565,99.8144,98.3937,99.9575,2775,1
2024-01-01 06:45:00,99.0783,99.5353,98.4547,101.17,3290,1
2024-01-01 07:00:00,99.5423,100.5371,98.7773,99.5957,2872,1
2024-01-01 07:15:00,100.2202,100.3831,99.3577,102.0593,2203,1
2024-01-01 07:30:00,98.9904,99.6256,98.639,100.2106,2616,1
2024-01-01 07:45:00,99.7908,99.9902,99.3847,98.4345,3026,0
2024-01-01 08:00:00,99.8408,100.2593,98.9255,102.4644,1351,1
2024-01-01 08:15:00,100.5408,101.2882,100.4328,99.5415,1291,0
2024-01-01 08:30:00,100.2147,100.7119,99.7671,100.4436,4996,1
2024-01-01 08:45:00,100.3554,100.7161,99.7116,100.9236,2078,1
2024-01-01 09:00:00,99.3462,100.2353,99.2065,101.0358,3875,1
2024-01-01 09:15:00,99.8704,100.7425,99.5346,99.2606,4578,0
2024-01-01 09:30:00,100.784,101.1665,100.52,99.4708,3733,0
2024-01-01 09:45:00,101.4934,101.5881,100.5465,100.086,1852,0
2024-01-01 10:00:00,98.7409,99.0838,98.7397,102.9834,4459,1
2024-01-01 10:15:00,101.5139,101.7005,101.3129,100.4706,1537,0
2024-01-01 10:30:00,101.3459,102.0908,100.3621,99.9591,2794,0
2024-01-01 10:45:00,100.7813,101.4199,100.4885,100.2459,2477,0
2024-01-01 11:00:00,100.2645,100.7696,100.0603,100.9576,1139,1
2024-01-01 11:15:00,99.6861,99.7025,98.8676,101.7867,1613,1
2024-01-01 11:30:00,101.458,102.4241,100.6818,99.8798,2669,0
2024-01-01 11:45:00,101.9603,101.9738,101.5689,99.385,3639,0
2024-01-01 12:00:00,101.8016,102.329,101.3648,99.4066,4026,0
2024-01-01 12:15:00,101.3151,101.7467,100.9895,99.4166,1599,0
2024-01-01 12:30:00,100.3574,100.6193,99.525,100.8907,3098,1
2024-01-01 12:45:00,98.7917,99.6817,98.6313,100.4978,2778,1
2024-01-01 13:00:00,99.9955,100.3386,99.4795,100.713,3962,1
2024-01-01 13:15:00,100.6565,101.2216,100.3187,101.7519,2935,1
2024-01-01 13:30:00,98.7116,98.8422,98.6689,99.7768,2889,1
2024-01-01 13:45:00,100.3951,100.4475,99.5025,101.0988,1856,1
2024-01-01 14:00:00,100.4299,101.2701,100.069,100.4639,4036,0
2024-01-01 14:15:00,100.696,100.8249,100.1696,99.5482,3720,0
2024-01-01 14:30:00,98.8159,98.9512,98.4841,99.5144,3612,1
2024-01-01 14:45:00,99.3383,99.9951,99.1599,99.6845,4783,1
2024-01-01 15:00:00,99.5636,99.7785,99.0496,100.0963,2391,1
2024-01-01 15:15:00,98.8302,99.6111,98.3644,100.9494,1445,1
2024-01-01 15:30:00,101.7394,101.8141,100.9983,101.0292,1797,0
2024-01-01 15:45:00,99.5041,99.5353,98.7086,100.3189,3710,1
2024-01-01 16:00:00,100.329,100.7083,99.6856,101.0577,1333,1
2024-01-01 16:15:00,99.7414,100.6084,99.6617,100.2684,2940,1
2024-01-01 16:30:00,101.5835,101.718,101.3342,100.3506,3617,0
2024-01-01 16:45:00,101.3204,101.3257,101.1422,99.8771,4657,0
2024-01-01 17:00:00,100.6334,101.1155,100.5817,102.0025,1758,1
2024-01-01 17:15:00,97.7965,98.2454,97.0754,101.6339,3228,1
2024-01-01 17:30:00,100.052,100.49,99.7214,99.5087,2670,0
2024-01-01 17:45:00,100.6837,100.9136,100.1669,100.871,2877,1
2024-01-01 18:00:00,101.004,101.7143,100.5128,100.2403,2236,0
2024-01-01 18:15:00,99.3821,100.2338,98.9481,99.7732,4440,1
2024-01-01 18:30:00,101.822,102.2759,100.8936,100.7402,2431,0
2024-01-01 18:45:00,98.6796,99.6055,98.1426,100.1805,2551,1
